Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
03/20/2014 08:30,US,325),,Continuing Claims,8-Mar,--,--,--,--,68.7611,INJCSP Index
03/20/2014 09:45,US,326),,Bloomberg Economic Expectations,Mar,--,--,--,--,25.6637,COMFBTWR Index
03/20/2014 09:45,US,327),,Bloomberg Consumer Comfort,16-Mar,--,--,--,--,63.7168,COMFCOMF Index
03/20/2014 10:00,US,328),,Philadelphia Fed Business Outlook,Mar,--,--,--,--,76.1062,OUTFGAF Index
03/20/2014 10:00,US,329),,Existing Home Sales MoM,Feb,--,--,--,--,49.5575,ETSLMOM Index
03/20/2014 10:00,US,330),,Existing Home Sales,Feb,--,--,--,--,87.6106,ETSLTOTL Index
03/20/2014 10:00,US,331),,Leading Index,Feb,--,--,--,--,83.1858,LEI CHNG Index
03/24/2014 08:30,US,332),,Chicago Fed Nat Activity Index,Feb,--,--,--,--,61.0619,CFNAI Index
03/24/2014 08:58,US,333),,Markit US PMI Preliminary,Mar,--,--,--,--,8.84956,ECONMUS Index
03/25/2014 08:30,US,334),,Personal Income,Feb,--,--,--,--,84.9558,PITLCHNG Index
03/25/2014 08:30,US,335),,Personal Spending,Feb,--,--,--,--,84.9558,PCE CRCH Index
03/25/2014 08:30,US,336),,PCE Deflator MoM,Feb,--,--,--,--,7.07965,PCE DEFM Index
03/25/2014 08:30,US,337),,PCE Deflator YoY,Feb,--,--,--,--,34.5133,PCE DEFY Index
03/25/2014 08:30,US,338),,PCE Core MoM,Feb,--,--,--,--,59.469,PCE CMOM Index
03/25/2014 08:30,US,339),,PCE Core YoY,Feb,--,--,--,--,37.1681,PCE CYOY Index
03/25/2014 09:00,US,340),,House Price Index MoM,Jan,--,--,--,--,67.2566,HPIMMOM% Index
03/25/2014 09:00,US,341),,S&P/CS 20 City MoM SA,Feb,--,--,--,--,21.2389,SPCS20SM Index
03/25/2014 09:00,US,342),,S&P/CS Composite-20 YoY,Feb,--,--,--,--,46.9027,SPCS20Y% Index
03/25/2014 09:00,US,343),,S&P/CaseShiller Home Price Index NSA,Feb,--,--,--,--,53.9823,SPCS20 Index
03/25/2014 10:00,US,344),,New Home Sales MoM,Feb,--,--,--,--,47.7876,NHSLCHNG Index
03/25/2014 10:00,US,345),,New Home Sales,Feb,--,--,--,--,90.2655,NHSLTOT Index
03/25/2014 10:00,US,346),,Consumer Confidence Index,Mar,--,--,--,--,95.5752,CONCCONF Index
03/25/2014 10:00,US,347),,Richmond Fed Manufact. Index,Mar,--,--,--,--,69.0265,RCHSINDX Index
03/26/2014 07:00,US,348),,MBA Mortgage Applications,21-Mar,--,--,--,--,92.3077,MBAVCHNG Index
03/26/2014 08:30,US,349),,Durable Goods Orders,Feb,--,--,--,--,91.1504,DGNOCHNG Index
03/26/2014 08:30,US,350),,Durables Ex Transportation,Feb,--,--,--,--,72.9204,DGNOXTCH Index
03/26/2014 08:30,US,351),,Cap Goods Orders Nondef Ex Air,Feb,--,--,--,--,56.6372,CGNOXAI% Index
03/26/2014 08:30,US,352),,Cap Goods Ship Nondef Ex Air,Feb,--,--,--,--,55.7522,CGSHXAI% Index
03/27/2014 08:30,US,353),,GDP Annualized QoQ,4Q T,--,--,--,--,96.4602,GDP CQOQ Index
03/27/2014 08:30,US,354),,GDP Price Index,4Q T,--,--,--,--,77.1681,GDP PIQQ Index
